,baseMean,log2FoldChange,lfcSE,pvalue,padj
ENSG00000174306,3234.84552730351,1.1167439157843,0.0941859540032467,1.48050637446738e-33,2.40508927426989e-31
ENSG00000119508,216.674369404588,2.05028310419169,0.173493730250715,1.62630813805349e-33,2.61835610226612e-31
ENSG00000123562,5040.48334406563,1.01647974957808,0.0858047697352129,2.25195034356361e-33,3.59355474293266e-31
ENSG00000145777,152.370841552781,-2.74409001436875,0.233968082056498,3.80924131600488e-33,5.97289038349565e-31
ENSG00000173918,992.657155958414,1.23811718124974,0.105162622326553,4.27942888237559e-33,6.65229841439627e-31
ENSG00000164125,5596.3514152391,1.11091924956847,0.0944725042415535,4.97125947390817e-33,7.66168810542838e-31
ENSG00000114098,1010.29282888401,1.32930174996362,0.113425212557259,6.56245421477518e-33,1.00283198644768e-30
ENSG00000109861,4057.99873271313,1.00592276355843,0.0858241837407221,9.44673741143701e-33,1.43145856305069e-30
ENSG00000077684,1570.63392682279,1.18503502034846,0.101711672935214,1.69789510278358e-32,2.55137037444946e-30
ENSG00000114270,1546.90777793248,1.21774799371506,0.104737122141107,2.14616269174707e-32,3.19831451715564e-30
ENSG00000103485,865.199817057682,-1.19639744516011,0.103105154283494,3.14909388314264e-32,4.6166228374657e-30
ENSG00000138829,15701.2188784373,1.88914500099239,0.166719075994501,9.40891435819674e-32,1.36499655323781e-29
ENSG00000164442,7510.49639231427,1.52847441158705,0.133660542210559,9.46232082712544e-32,1.36499655323781e-29
ENSG00000110756,995.252222053197,1.55311117694499,0.13590131627349,1.15106277273058e-31,1.64729872364109e-29
ENSG00000155130,5654.02187573995,-1.17243923436975,0.102448567607295,1.20053164225385e-31,1.70456587189932e-29
ENSG00000144369,1303.26322729511,-1.32907111033711,0.116400650884771,1.98484220397141e-31,2.79614645484473e-29
ENSG00000143320,1492.11031525408,-1.61259209337559,0.142120210308683,2.38568961185945e-31,3.33478721558524e-29
ENSG00000181467,630.869571252005,-1.25615963805238,0.110608625855503,5.99560221993954e-31,8.31636147922691e-29
ENSG00000196507,988.841982921031,1.04299996424412,0.0925451216815265,2.23450409873155e-30,3.07576930597918e-28
ENSG00000008256,3716.56541790484,1.16535059085078,0.104408539014796,3.52255303062376e-30,4.81202092789451e-28
ENSG00000116584,2250.58089102087,-1.00166007618127,0.0900715974892399,8.81158170710092e-30,1.19466497249958e-27
ENSG00000140545,9199.60485668938,1.09489842233246,0.09941250432189,2.23081102645659e-29,3.00193913649741e-27
ENSG00000154864,153.233975152144,-2.52812578091552,0.231704578795105,3.80518987957192e-29,5.08260621544007e-27
ENSG00000177283,115.085150181609,2.44974397813443,0.225064901252117,6.47727250503867e-29,8.58810130962186e-27
ENSG00000146592,669.394803070239,-2.01257209197389,0.18760058475087,1.13151319251175e-28,1.48930261951619e-26
ENSG00000072958,2129.43309251556,1.070433062815,0.0986260730090289,1.65990015010381e-28,2.16893619613565e-26
ENSG00000133216,344.05324780186,-1.74411931005049,0.162063392743571,2.5835793776014e-28,3.3515901681229e-26
ENSG00000205978,1601.03584426828,-1.13924470730773,0.105866739058149,3.81622538230106e-28,4.91529829240376e-26
ENSG00000243244,996.172029975073,1.38833230269843,0.129634299111838,4.42790570533879e-28,5.66269472898362e-26
ENSG00000136546,4991.23707113776,1.34527532499231,0.126117433118875,5.65973728877175e-28,7.18706921064312e-26
ENSG00000096060,2564.38437504937,3.96984644921646,0.382815916547698,7.14198282961505e-28,9.00589051633697e-26
ENSG00000163491,160.223339782888,-2.45525854141467,0.231615822801867,1.06246409063435e-27,1.33044114460545e-25
ENSG00000092621,1231.09188657928,-1.40405983447314,0.132210501311101,1.14904912254965e-27,1.42894163984932e-25
ENSG00000187498,2283.82730989972,1.2954078812514,0.122084696171147,1.47542228868449e-27,1.82224758284649e-25
ENSG00000233117,77.6315991325697,3.33168401425172,0.315479358204597,2.4434294024521e-27,2.97702155304164e-25
ENSG00000127083,304.475082330564,1.78229278667189,0.169720640314305,3.71609296750661e-27,4.46723922600528e-25
ENSG00000165507,18353.5589923275,1.527660353734,0.146106305780369,4.14655444009589e-27,4.9516999777357e-25
ENSG00000183160,2987.64727922828,-1.15542039934606,0.109754507598759,4.55106197127863e-27,5.39899667540107e-25
ENSG00000177666,1701.23183704411,1.08385908382232,0.103444220926463,9.44176567392394e-27,1.11277071001436e-24
ENSG00000069431,849.097214895302,1.04132301710192,0.0993511028142795,1.02690045209661e-26,1.20240707481858e-24
ENSG00000102466,664.680645198945,1.19833424227354,0.114654689319799,1.09998159812474e-26,1.27966891467002e-24
ENSG00000131386,11496.512180422,1.58647751964575,0.154069926703978,1.57021220714513e-26,1.81500426405391e-24
ENSG00000180914,568.7095119069,1.8435276425918,0.17800486673073,1.63699478743401e-26,1.88014586031912e-24
ENSG00000162496,3692.00032052386,1.0709330217078,0.102895910217101,1.91334720421422e-26,2.18363777129056e-24
ENSG00000177674,751.373019489767,1.09747770469627,0.10546083126156,1.98024680897624e-26,2.24577424273331e-24
ENSG00000099204,848.584854270064,1.40371323632646,0.136249355504505,3.45301450697544e-26,3.89154734936133e-24
ENSG00000126878,93.2590639059887,-2.62079190861687,0.254479849292293,4.35229169757754e-26,4.87456670128685e-24
ENSG00000127954,286.388753317735,5.11285568632131,0.50827995117465,4.54993962223434e-26,5.06447600420553e-24
ENSG00000148120,743.999682318538,1.08702314295804,0.105629404441653,7.10033817814963e-26,7.85480356002417e-24
ENSG00000169738,627.449398995589,2.06012915409848,0.203842286793866,7.30665024133818e-26,8.03375104584208e-24
ENSG00000112773,516.79715620943,-1.17857778562541,0.114716690963981,7.38962386895883e-26,8.07573924879185e-24
ENSG00000125848,178.652501999173,-2.43569700667092,0.242004320822669,1.27867467600512e-25,1.38066238070205e-23
ENSG00000035664,633.039689235768,1.65525271517059,0.163490559030356,1.47802921927738e-25,1.58641802869105e-23
ENSG00000110900,262.804092122617,-1.44220279350015,0.141530733739437,1.92628177382525e-25,2.05530845832053e-23
ENSG00000023909,1927.70386518774,1.20244508142469,0.118486382118126,2.260894433792e-25,2.3981440253022e-23
