,baseMean,log2FoldChange,lfcSE,pvalue,padj
ENSG00000005961,8.38992974858045,-0.0436515417800102,0.28818625891008,0.699125322555833,0.861697048279343
ENSG00000006007,2204.03850772542,0.158038206246874,0.0838835379216581,0.0495287634941548,0.159653675961137
ENSG00000006015,372.379990370748,-0.0347862960704027,0.12627983684136,0.761393454312654,0.896158143932451
ENSG00000006016,146.241327076607,0.20369478096097,0.197024656992765,0.190485071010081,0.414333751562579
ENSG00000006025,160.283840153,-0.891208230525009,0.182129005891266,1.02428187332585e-07,1.668459868095e-06
ENSG00000006042,3087.22863686044,-0.0320607089098479,0.0771273510316196,0.689575793920731,0.856424734208873
ENSG00000006062,196.877940922506,-0.614547864027638,0.201428195929138,0.000361469414289443,0.00275137884274683
ENSG00000006114,995.868720506853,-0.492573583606912,0.0961890988744275,8.83308076305913e-08,1.44864702395556e-06
ENSG00000006118,433.934493983581,-0.471673255921402,0.11965320280996,2.54562725394083e-05,0.000260515043377191
ENSG00000006125,6741.62946112461,0.0370713391128099,0.0998164348367107,0.691375480559058,0.857362083241249
ENSG00000006194,552.267248663245,0.0883345744527098,0.115108219197353,0.409349706611803,0.655424783308828
ENSG00000006210,9.60922132806978,0.337014964834418,0.505128529498084,0.0480798934760655,0.156015231088791
ENSG00000006282,1369.85978580052,-0.100803018636684,0.0856914151768626,0.218513466677743,0.450928916631422
ENSG00000006283,62.959894863754,-1.35762335590304,0.294494998637145,2.5914723984803e-07,3.94341183876765e-06
ENSG00000006327,558.914279820234,-0.18217966488806,0.188925510310688,0.222872266249415,0.45643306675928
ENSG00000006432,5.1426888570651,-0.0139055503340719,0.292296870244773,0.88852312717784,0.954332224355103
ENSG00000006451,1095.51248055838,-0.525916890347716,0.118403822946805,2.11742028485656e-06,2.70597608621782e-05
ENSG00000006453,151.897155345013,-0.167125349561719,0.152547279805147,0.209363668867226,0.439679128647007
ENSG00000006459,395.715320694845,-0.0054676303097965,0.160862530380257,0.966919974531345,0.986842246924106
